Part Name,Qty,Cost per Unit (INR) ,Total Cost (INR)
12V pneumatic valve,5,700,"3,500"
12V External Power Supply,1,448,448
12V 4Ch Relay,1,131,131
12V 1Ch Relay,1,32,32
2Way General Switches,5,10,50
Arduino UNO R3 Atmega,1,710,710
3 Way switch,1,20,20
3D Filament (1kg),1,1500,1500
"Miscellaneous Items (screws, nuts, glue, soldering, wires)",-,Approx. 500,500
,,,
,,,"6,891"
